item_begin	tag=2	object_id=17	drop_type=0	drop_anim_type=3	drop_radius=8	drop_height=4	drop_texture={{[dropitems.drop_quiver_m00];{[dropitemstex.drop_quiver_t00]};[None];[None]}}	icon={[icon.etc_wooden_quiver_i00];[None];[None];[None];[None]}	durability=-1	weight=1	material_type=wood	crystallizable=0	related_quest_id={}	color=1	is_attribution=0	icon_panel=[None]	complete_item_dropsound_type=[None]	inventory_type=equipment	mesh={[LineageWeapons.wooden_arrow_m00_et]}	texture={[LineageWeaponsTex.wooden_arrow_t00_et]}	drop_sound=[ItemSound.itemdrop_arrow]	equip_sound=[None]	consume_type=consume_type_stackable	etcitem_type=arrow	crystal_type=none	scroll_set_id=0	item_end
item_begin	tag=2	object_id=57	drop_type=0	drop_anim_type=5	drop_radius=4	drop_height=1	drop_texture={{[DropItems.coin_m00];{[DropItemsTex.coin_t00];[DropItemsTex.coin_t01]};[None];[None]}}	icon={[icon.etc_adena_i00];[None];[None];[None];[None]}	durability=-1	weight=0	material_type=gold	crystallizable=0	related_quest_id={}	color=1	is_attribution=0	icon_panel=[None]	complete_item_dropsound_type=[None]	inventory_type=etc	mesh={[None]}	texture={[None]}	drop_sound=[ItemSound2.itemdrop_etc_money_2]	equip_sound=[None]	consume_type=consume_type_asset	etcitem_type=none	crystal_type=none	scroll_set_id=0	item_end
item_begin	tag=2	object_id=686	drop_type=0	drop_anim_type=3	drop_radius=5	drop_height=6	drop_texture={{[dropitems.drop_jewel_box_m00];{[dropitemstex.drop_jewel_box_t00]};[None];[None]}}	icon={[icon.etc_ertheia2];[None];[None];[None];[None]}	durability=-1	weight=100	material_type=wood	crystallizable=0	related_quest_id={}	color=1	is_attribution=0	icon_panel=[None]	complete_item_dropsound_type=[None]	inventory_type=etc	mesh={[None]}	texture={[None]}	drop_sound=[ItemSound.itemdrop_jewelbox]	equip_sound=[ItemSound.itemequip_armor_cloth]	consume_type=consume_type_normal	etcitem_type=none	crystal_type=none	scroll_set_id=0	item_end
item_begin	tag=2	object_id=687	drop_type=0	drop_anim_type=0	drop_radius=2	drop_height=5	drop_texture={{[dropitems.drop_sack_m00];{[dropitemstex.drop_sack_t00]};[None];[None]}}	icon={[icon.etc_scroll_gray_i00];[None];[None];[None];[None]}	durability=-1	weight=0	material_type=paper	crystallizable=0	related_quest_id={1}	color=1	is_attribution=0	icon_panel=[None]	complete_item_dropsound_type=[None]	inventory_type=quest	mesh={[None]}	texture={[None]}	drop_sound=[ItemSound.itemdrop_sack]	equip_sound=[None]	consume_type=consume_type_normal	etcitem_type=none	crystal_type=none	scroll_set_id=0	item_end
item_begin	tag=2	object_id=688	drop_type=0	drop_anim_type=0	drop_radius=2	drop_height=5	drop_texture={{[dropitems.drop_sack_m00];{[dropitemstex.drop_sack_t00]};[None];[None]}}	icon={[icon.etc_piece_of_cloth_white_i00];[None];[None];[None];[None]}	durability=-1	weight=0	material_type=cloth	crystallizable=0	related_quest_id={1}	color=1	is_attribution=0	icon_panel=[None]	complete_item_dropsound_type=[None]	inventory_type=quest	mesh={[None]}	texture={[None]}	drop_sound=[ItemSound.itemdrop_sack]	equip_sound=[None]	consume_type=consume_type_normal	etcitem_type=none	crystal_type=none	scroll_set_id=0	item_end
item_begin	tag=2	object_id=689	drop_type=0	drop_anim_type=0	drop_radius=2	drop_height=5	drop_texture={{[dropitems.drop_sack_m00];{[dropitemstex.drop_sack_t00]};[None];[None]}}	icon={[icon.etc_spell_books_red_i00];[None];[None];[None];[None]}	durability=-1	weight=0	material_type=paper	crystallizable=0	related_quest_id={2}	color=1	is_attribution=0	icon_panel=[None]	complete_item_dropsound_type=[None]	inventory_type=quest	mesh={[None]}	texture={[None]}	drop_sound=[ItemSound.itemdrop_sack]	equip_sound=[None]	consume_type=consume_type_normal	etcitem_type=none	crystal_type=none	scroll_set_id=0	item_end
item_begin	tag=2	object_id=690	drop_type=0	drop_anim_type=0	drop_radius=2	drop_height=5	drop_texture={{[dropitems.drop_sack_m00];{[dropitemstex.drop_sack_t00]};[None];[None]}}	icon={[icon.item_normal06];[None];[None];[None];[None]}	durability=-1	weight=0	material_type=paper	crystallizable=0	related_quest_id={}	color=1	is_attribution=0	icon_panel=[None]	complete_item_dropsound_type=[None]	inventory_type=quest	mesh={[None]}	texture={[None]}	drop_sound=[ItemSound.itemdrop_sack]	equip_sound=[None]	consume_type=consume_type_normal	etcitem_type=none	crystal_type=none	scroll_set_id=0	item_end
item_begin	tag=2	object_id=691	drop_type=0	drop_anim_type=0	drop_radius=2	drop_height=5	drop_texture={{[dropitems.drop_sack_m00];{[dropitemstex.drop_sack_t00]};[None];[None]}}	icon={[icon.item_normal07];[None];[None];[None];[None]}	durability=-1	weight=0	material_type=paper	crystallizable=0	related_quest_id={}	color=1	is_attribution=0	icon_panel=[None]	complete_item_dropsound_type=[None]	inventory_type=quest	mesh={[None]}	texture={[None]}	drop_sound=[ItemSound.itemdrop_sack]	equip_sound=[None]	consume_type=consume_type_normal	etcitem_type=none	crystal_type=none	scroll_set_id=0	item_end
item_begin	tag=2	object_id=692	drop_type=0	drop_anim_type=0	drop_radius=2	drop_height=5	drop_texture={{[dropitems.drop_sack_m00];{[dropitemstex.drop_sack_t00]};[None];[None]}}	icon={[icon.item_canuse37];[None];[None];[None];[None]}	durability=-1	weight=0	material_type=paper	crystallizable=0	related_quest_id={}	color=1	is_attribution=0	icon_panel=[None]	complete_item_dropsound_type=[None]	inventory_type=quest	mesh={[None]}	texture={[None]}	drop_sound=[ItemSound.itemdrop_sack]	equip_sound=[None]	consume_type=consume_type_normal	etcitem_type=none	crystal_type=none	scroll_set_id=0	item_end
item_begin	tag=2	object_id=693	drop_type=0	drop_anim_type=0	drop_radius=2	drop_height=5	drop_texture={{[dropitems.drop_sack_m00];{[dropitemstex.drop_sack_t00]};[None];[None]}}	icon={[icon.etc_letter_white_i00];[None];[None];[None];[None]}	durability=-1	weight=0	material_type=paper	crystallizable=0	related_quest_id={2}	color=1	is_attribution=0	icon_panel=[None]	complete_item_dropsound_type=[None]	inventory_type=quest	mesh={[None]}	texture={[None]}	drop_sound=[ItemSound.itemdrop_sack]	equip_sound=[None]	consume_type=consume_type_normal	etcitem_type=none	crystal_type=none	scroll_set_id=0	item_end
item_begin	tag=2	object_id=694	drop_type=0	drop_anim_type=0	drop_radius=2	drop_height=5	drop_texture={{[dropitems.drop_sack_m00];{[dropitemstex.drop_sack_t00]};[None];[None]}}	icon={[icon.item_normal37];[None];[None];[None];[None]}	durability=-1	weight=0	material_type=paper	crystallizable=0	related_quest_id={}	color=1	is_attribution=0	icon_panel=[None]	complete_item_dropsound_type=[None]	inventory_type=quest	mesh={[None]}	texture={[None]}	drop_sound=[ItemSound.itemdrop_sack]	equip_sound=[None]	consume_type=consume_type_normal	etcitem_type=none	crystal_type=none	scroll_set_id=0	item_end
